id,name,age,city,email,signup_date,customer_segment,monthly_spend,is_active
24,Tereza Novotný,75,Praha,tereza.novotný.24@sentinel.test,2022-05-26,standard,696.19,False
25,Anna Beneš,26,Karlovy Vary,anna.beneš.25@company.cz,2025-03-26,enterprise,607.49,False
26,Filip Kučera,24,Brno,filip.kučera.26@demo.io,2023-12-27,enterprise,1027.76,True
27,Tomáš Svoboda,43,Karlovy Vary,tomáš.svoboda.27@sentinel.test,2022-08-12,standard,478.98,False
28,Martin Hájek,29,Liberec,martin.hájek.28@demo.io,2023-05-27,free,1107.83,True
29,Petr Beneš,71,Praha,petr.beneš.29@example.com,2023-04-30,standard,1016.04,False
30,Anna Pospíšil,75,Praha,anna.pospíšil.30@mail.cz,2024-02-16,free,2463.27,True
31,Ondřej Němec,45,Karlovy Vary,ondřej.němec.31@company.cz,2025-09-17,enterprise,386.99,True
32,Anna Svoboda,55,Karlovy Vary,anna.svoboda.32@company.cz,2022-05-05,premium,142.91,False
33,Nikola Růžička,28,Praha,nikola.růžička.33@company.cz,2022-06-14,standard,171.3,True
34,Tereza Pospíšil,25,Zlín,tereza.pospíšil.34@mail.cz,2025-03-31,free,1548.45,False
35,Karolína Růžička,38,Liberec,karolína.růžička.35@mail.cz,2025-10-03,premium,596.71,False
36,Martin Němec,47,Olomouc,martin.němec.36@example.com,2022-01-20,enterprise,1552.9,True
37,Jan Beneš,31,České Budějovice,jan.beneš.37@sentinel.test,2022-09-29,premium,2202.16,True
38,Veronika Němec,28,Pardubice,veronika.němec.38@company.cz,2025-12-11,premium,1529.19,True
39,Adéla Němec,77,Jihlava,adéla.němec.39@example.com,2022-10-03,premium,288.57,True
40,Adéla Černý,35,Liberec,adéla.černý.40@company.cz,2023-03-08,premium,508.99,True
41,Nikola Jelínek,34,Praha,nikola.jelínek.41@example.com,2025-07-23,enterprise,2073.37,True
42,Jakub Pokorný,67,Ostrava,jakub.pokorný.42@sentinel.test,2022-11-27,enterprise,1379.2,False
43,Adéla Novák,25,Brno,adéla.novák.43@mail.cz,2025-01-22,free,2086.49,True
44,Filip Černý,20,Liberec,filip.černý.44@sentinel.test,2022-03-23,premium,525.19,True
45,Tomáš Marek,67,České Budějovice,tomáš.marek.45@demo.io,2025-06-25,standard,2314.41,True
46,Lucie Procházka,74,Hradec Králové,lucie.procházka.46@example.com,2023-01-03,premium,1955.97,False
47,Tereza Horák,28,Ústí nad Labem,tereza.horák.47@example.com,2024-02-23,free,2146.48,True
48,Anna Král,40,Liberec,anna.král.48@mail.cz,2023-04-02,free,1650.08,False
49,Michaela Horák,73,Brno,michaela.horák.49@sentinel.test,2023-12-21,enterprise,1698.8,True
50,Jakub Dvořák,74,Liberec,jakub.dvořák.50@mail.cz,2025-04-04,premium,95.64,False
51,Veronika Pokorný,45,Zlín,veronika.pokorný.51@company.cz,2022-08-25,enterprise,2248.76,True
52,Kateřina Svoboda,63,Hradec Králové,kateřina.svoboda.52@example.com,2024-11-30,standard,910.55,True
53,Michaela Pokorný,60,Brno,michaela.pokorný.53@sentinel.test,2024-11-04,premium,1667.23,True
54,David Němec,53,Ostrava,david.němec.54@mail.cz,2024-05-11,enterprise,1693.29,True
55,Daniel Němec,43,České Budějovice,daniel.němec.55@example.com,2023-09-15,premium,525.46,True
56,Ondřej Král,46,Jihlava,ondřej.král.56@mail.cz,2024-11-12,enterprise,1984.34,True
57,Jan Němec,50,Jihlava,jan.němec.57@company.cz,2023-11-18,free,2046.06,True
58,Eva Veselý,69,Plzeň,eva.veselý.58@mail.cz,2022-02-20,free,612.11,False
59,Daniel Novotný,47,Hradec Králové,daniel.novotný.59@company.cz,2023-02-03,enterprise,1235.94,True
60,Martin Novák,75,Ústí nad Labem,martin.novák.60@example.com,2024-05-20,standard,439.72,False
61,Petr Beneš,33,Brno,petr.beneš.61@demo.io,2022-10-01,enterprise,1668.94,True
62,Ondřej Růžička,45,České Budějovice,ondřej.růžička.62@demo.io,2022-11-22,enterprise,1125.17,True
63,Kateřina Růžička,49,Jihlava,kateřina.růžička.63@mail.cz,2023-07-17,enterprise,193.71,True
64,Tereza Horák,39,Olomouc,tereza.horák.64@company.cz,2022-06-15,standard,377.08,False
65,Martin Kučera,22,Hradec Králové,martin.kučera.65@demo.io,2023-11-09,enterprise,1039.44,True
66,Filip Pospíšil,75,Ústí nad Labem,filip.pospíšil.66@company.cz,2025-11-25,free,2141.83,False
67,Barbora Novák,78,Olomouc,barbora.novák.67@sentinel.test,2024-03-09,enterprise,1345.55,True
68,Barbora Veselý,35,Hradec Králové,barbora.veselý.68@demo.io,2022-03-01,enterprise,840.32,False
69,Lucie Král,76,Ostrava,lucie.král.69@company.cz,2024-12-29,free,2267.32,True
70,Jan Hájek,26,Pardubice,jan.hájek.70@mail.cz,2022-04-13,premium,947.76,True
71,Ondřej Pokorný,39,Ústí nad Labem,ondřej.pokorný.71@demo.io,2023-07-24,enterprise,630.68,True
72,Barbora Novák,65,České Budějovice,barbora.novák.72@example.com,2023-12-18,standard,1625.36,True
73,Jakub Veselý,30,Praha,jakub.veselý.73@company.cz,2022-11-09,standard,315.55,True
74,Karolína Kučera,47,Karlovy Vary,karolína.kučera.74@sentinel.test,2024-01-26,standard,1514.73,True
75,Lucie Němec,24,Zlín,lucie.němec.75@example.com,2023-10-01,enterprise,991.64,True
76,Jan Veselý,24,Karlovy Vary,jan.veselý.76@sentinel.test,2025-11-02,free,1990.57,True
77,Veronika Beneš,45,Jihlava,veronika.beneš.77@sentinel.test,2022-05-22,premium,31.63,False
78,Barbora Dvořák,45,Olomouc,barbora.dvořák.78@demo.io,2025-12-19,standard,1088.72,True
79,Daniel Beneš,67,Pardubice,daniel.beneš.79@demo.io,2024-06-11,premium,805.76,True
80,Jan Horák,74,Pardubice,jan.horák.80@mail.cz,2024-08-09,enterprise,840.99,False
81,Michaela Procházka,49,Plzeň,michaela.procházka.81@sentinel.test,2023-06-14,premium,699.15,True
82,Adéla Novák,51,Plzeň,adéla.novák.82@example.com,2023-05-10,enterprise,1221.44,True
83,Barbora Jelínek,46,Ústí nad Labem,barbora.jelínek.83@example.com,2022-07-10,premium,553.99,True
84,Eva Marek,48,České Budějovice,eva.marek.84@company.cz,2023-12-06,enterprise,2491.58,True
85,Veronika Král,35,Liberec,veronika.král.85@sentinel.test,2023-04-18,free,1803.21,True
86,Tomáš Beneš,78,Ústí nad Labem,tomáš.beneš.86@mail.cz,2023-01-28,standard,1846.51,True
87,Karolína Růžička,56,Liberec,karolína.růžička.87@example.com,2023-02-02,premium,568.71,True
88,Eva Novák,63,České Budějovice,eva.novák.88@mail.cz,2023-07-16,free,2435.74,True
89,Martin Jelínek,24,Praha,martin.jelínek.89@company.cz,2023-08-06,enterprise,1196.79,True
90,Lucie Svoboda,34,Pardubice,lucie.svoboda.90@example.com,2022-05-14,enterprise,1229.37,True
91,Martin Černý,69,Zlín,martin.černý.91@sentinel.test,2022-06-24,standard,296.13,False
92,Daniel Veselý,67,České Budějovice,daniel.veselý.92@demo.io,2024-07-11,enterprise,743.38,False
93,Eva Svoboda,57,Karlovy Vary,eva.svoboda.93@example.com,2023-03-02,standard,661.62,True
94,Lucie Veselý,29,České Budějovice,lucie.veselý.94@example.com,2022-11-17,free,1021.29,False
95,Eva Svoboda,32,Liberec,eva.svoboda.95@sentinel.test,2025-12-10,enterprise,177.95,True
96,Kateřina Kučera,45,Brno,kateřina.kučera.96@company.cz,2023-04-06,standard,2271.03,True
97,Jan Svoboda,28,Ústí nad Labem,jan.svoboda.97@sentinel.test,2025-05-03,premium,1097.88,False
98,Eva Pospíšil,78,Liberec,eva.pospíšil.98@company.cz,2025-01-10,enterprise,1094.4,True
99,Filip Pokorný,56,Liberec,filip.pokorný.99@example.com,2022-07-07,standard,2404.78,True
100,Kateřina Svoboda,66,Ústí nad Labem,kateřina.svoboda.100@mail.cz,2024-08-21,enterprise,2290.18,True
101,Karolína Hájek,58,Pardubice,karolína.hájek.101@example.com,2024-08-20,premium,1020.87,True
102,Tomáš Procházka,39,Hradec Králové,tomáš.procházka.102@demo.io,2023-08-14,enterprise,2033.92,True
103,Ondřej Novotný,38,Liberec,ondřej.novotný.103@sentinel.test,2022-08-26,enterprise,2162.28,True
104,Adéla Král,44,Praha,adéla.král.104@mail.cz,2024-11-27,premium,1556.58,False
105,Ondřej Svoboda,31,Liberec,ondřej.svoboda.105@company.cz,2022-09-26,premium,1095.29,False
106,Tomáš Novák,80,Jihlava,tomáš.novák.106@company.cz,2023-05-06,standard,776.88,True
107,Adéla Hájek,23,Plzeň,adéla.hájek.107@example.com,2024-08-03,free,1619.27,True
108,Barbora Němec,50,Karlovy Vary,barbora.němec.108@sentinel.test,2024-04-30,enterprise,2450.61,True
109,Ondřej Beneš,27,Hradec Králové,ondřej.beneš.109@mail.cz,2025-05-12,standard,2160.07,True
110,Filip Pokorný,77,Ústí nad Labem,filip.pokorný.110@company.cz,2023-07-02,free,707.1,True
111,Karolína Jelínek,73,Ostrava,karolína.jelínek.111@demo.io,2025-01-08,enterprise,862.81,False
112,Ondřej Pokorný,73,Plzeň,ondřej.pokorný.112@mail.cz,2025-03-17,enterprise,583.91,False
113,Petr Pokorný,65,Pardubice,petr.pokorný.113@demo.io,2024-03-01,standard,1238.32,True
114,Martin Růžička,79,Zlín,martin.růžička.114@sentinel.test,2022-07-25,enterprise,249.28,False
115,Jakub Černý,44,Jihlava,jakub.černý.115@mail.cz,2022-06-03,enterprise,1953.81,True
116,Michaela Pospíšil,59,Brno,michaela.pospíšil.116@sentinel.test,2025-10-13,enterprise,2385.35,False
117,Adéla Svoboda,57,Brno,adéla.svoboda.117@mail.cz,2025-07-16,premium,2493.56,True
118,Filip Dvořák,66,Jihlava,filip.dvořák.118@example.com,2024-06-27,standard,1735.0,True
119,Petr Pokorný,68,Praha,petr.pokorný.119@sentinel.test,2024-01-05,premium,1076.72,True
120,Nikola Hájek,54,Jihlava,nikola.hájek.120@mail.cz,2022-12-15,standard,197.42,False
121,Daniel Veselý,49,Zlín,daniel.veselý.121@mail.cz,2023-04-21,enterprise,1594.76,False
122,Kateřina Novák,75,Ústí nad Labem,kateřina.novák.122@demo.io,2023-08-13,standard,184.65,True
123,Karolína Němec,58,Hradec Králové,karolína.němec.123@sentinel.test,2024-07-24,premium,498.04,False
124,Barbora Dvořák,33,Hradec Králové,barbora.dvořák.124@company.cz,2024-01-06,premium,2481.73,True
125,Jakub Pospíšil,35,Praha,jakub.pospíšil.125@company.cz,2025-11-05,free,2276.54,False
126,Eva Veselý,56,Ústí nad Labem,eva.veselý.126@sentinel.test,2023-03-25,standard,1552.23,True
127,Tomáš Svoboda,37,Ústí nad Labem,tomáš.svoboda.127@demo.io,2022-03-10,premium,1830.9,True
128,Eva Pokorný,65,Hradec Králové,eva.pokorný.128@mail.cz,2023-02-16,standard,1966.28,True
129,Nikola Růžička,76,Liberec,nikola.růžička.129@mail.cz,2023-06-11,enterprise,2418.46,True
130,Michaela Dvořák,47,Brno,michaela.dvořák.130@mail.cz,2023-04-08,enterprise,2418.17,True
131,Jan Pospíšil,18,Liberec,jan.pospíšil.131@company.cz,2022-09-11,enterprise,921.46,True
132,Karolína Pospíšil,70,Jihlava,karolína.pospíšil.132@sentinel.test,2022-08-10,standard,1178.69,True
133,Daniel Veselý,59,Brno,daniel.veselý.133@demo.io,2025-12-06,premium,1623.1,True
134,Martin Svoboda,78,Praha,martin.svoboda.134@sentinel.test,2024-10-05,free,242.98,True
135,David Král,41,Jihlava,david.král.135@company.cz,2024-05-08,standard,2213.53,True
136,Barbora Hájek,78,Liberec,barbora.hájek.136@example.com,2025-11-14,premium,543.17,False
137,Tereza Marek,24,Jihlava,,2025-01-20,premium,151.38,True
138,Anna Dvořák,78,Pardubice,anna.dvořák.138@example.com,2025-09-19,standard,1604.26,True
139,Petr Pokorný,33,Ostrava,petr.pokorný.139@company.cz,2023-02-25,free,2074.54,True
140,Karolína Kučera,70,Plzeň,karolína.kučera.140@sentinel.test,2022-10-30,free,693.19,True
141,Martin Beneš,34,Ústí nad Labem,martin.beneš.141@mail.cz,2022-08-14,free,329.51,True
142,Tereza Pokorný,19,Ostrava,tereza.pokorný.142@sentinel.test,2022-04-18,standard,1854.3,True
143,Jan Jelínek,46,Ústí nad Labem,jan.jelínek.143@sentinel.test,2024-11-17,free,1130.01,True
144,Daniel Svoboda,64,Ústí nad Labem,daniel.svoboda.144@company.cz,2023-09-10,enterprise,1608.35,True
145,Petr Jelínek,72,Hradec Králové,petr.jelínek.145@demo.io,2025-11-06,free,1225.67,False
146,Jan Novotný,38,Zlín,jan.novotný.146@mail.cz,2022-05-15,standard,687.54,True
147,David Růžička,36,Pardubice,david.růžička.147@company.cz,2025-05-24,enterprise,247.95,True
148,Adéla Kučera,45,Pardubice,adéla.kučera.148@mail.cz,2024-04-27,premium,2068.55,False
149,Filip Dvořák,38,Hradec Králové,filip.dvořák.149@sentinel.test,2025-09-24,premium,935.75,True
150,Barbora Novotný,23,Brno,barbora.novotný.150@example.com,2024-06-03,free,1861.47,True
151,Martin Beneš,21,Zlín,martin.beneš.151@company.cz,2025-02-24,premium,1675.03,False
152,Veronika Hájek,73,Karlovy Vary,veronika.hájek.152@example.com,2023-08-13,premium,879.12,True
153,Martin Jelínek,32,Brno,martin.jelínek.153@sentinel.test,2025-02-13,premium,287.21,True
154,Karolína Veselý,69,Hradec Králové,karolína.veselý.154@company.cz,2025-06-27,free,1522.49,True
155,Jakub Procházka,35,Karlovy Vary,jakub.procházka.155@sentinel.test,2023-11-27,premium,15.26,True
156,Karolína Pospíšil,22,Ostrava,karolína.pospíšil.156@example.com,2022-07-07,standard,940.49,False
157,Michaela Procházka,41,Liberec,michaela.procházka.157@sentinel.test,2025-03-08,free,2208.36,True
158,Lucie Svoboda,61,Brno,lucie.svoboda.158@sentinel.test,2024-06-26,enterprise,1214.15,False
159,Filip Horák,31,Ústí nad Labem,filip.horák.159@company.cz,2022-08-22,premium,1074.78,True
160,Karolína Jelínek,51,Jihlava,karolína.jelínek.160@sentinel.test,2022-04-04,standard,988.16,True
161,Jakub Kučera,37,Plzeň,jakub.kučera.161@mail.cz,2023-06-08,premium,820.31,True
162,Barbora Hájek,29,Ostrava,barbora.hájek.162@demo.io,2024-12-26,standard,1250.66,True
163,Jan Pospíšil,73,Karlovy Vary,jan.pospíšil.163@example.com,2024-06-12,free,1149.39,True
164,Michaela Hájek,54,Hradec Králové,michaela.hájek.164@demo.io,2023-08-16,free,1012.58,True
165,Lucie Král,71,Karlovy Vary,lucie.král.165@sentinel.test,2022-06-30,enterprise,2111.21,True
166,Filip Pospíšil,51,Brno,filip.pospíšil.166@demo.io,2023-09-28,premium,553.93,True
167,Jan Růžička,58,Brno,jan.růžička.167@company.cz,2024-11-10,standard,2264.81,True
168,Veronika Černý,33,Brno,veronika.černý.168@mail.cz,2023-06-09,standard,433.75,True
169,Jan Procházka,78,Ústí nad Labem,jan.procházka.169@demo.io,2024-08-08,enterprise,1702.83,True
170,Michaela Černý,46,Brno,michaela.černý.170@demo.io,2024-06-24,premium,1990.82,True
171,Veronika Růžička,22,Liberec,veronika.růžička.171@demo.io,2024-07-14,free,142.23,True
172,Jan Novotný,57,Zlín,jan.novotný.172@company.cz,2024-02-27,enterprise,1450.82,True
173,Ondřej Kučera,38,Zlín,ondřej.kučera.173@demo.io,2024-10-23,standard,2394.31,False
174,Tomáš Pokorný,80,Karlovy Vary,tomáš.pokorný.174@example.com,2024-10-30,standard,97.86,False
175,Ondřej Růžička,51,Zlín,ondřej.růžička.175@mail.cz,2024-01-16,premium,2294.84,False
176,Filip Pokorný,61,Zlín,filip.pokorný.176@example.com,2025-07-16,premium,164.78,True
177,Adéla Pospíšil,36,Liberec,adéla.pospíšil.177@company.cz,2022-11-04,premium,203.75,True
178,Veronika Němec,79,Jihlava,veronika.němec.178@demo.io,2022-09-22,free,773.95,False
179,Michaela Černý,60,Karlovy Vary,michaela.černý.179@company.cz,2022-07-11,enterprise,1271.22,True
180,Veronika Němec,29,Plzeň,veronika.němec.180@sentinel.test,2024-09-22,standard,566.36,True
181,Martin Novotný,36,Ústí nad Labem,martin.novotný.181@example.com,2024-11-05,free,1654.82,True
182,Daniel Pospíšil,27,Ostrava,daniel.pospíšil.182@mail.cz,2025-11-19,standard,1802.96,True
183,Filip Marek,61,Karlovy Vary,filip.marek.183@mail.cz,2024-06-28,premium,1880.98,False
184,Tereza Beneš,33,Liberec,tereza.beneš.184@demo.io,2023-02-02,premium,1695.77,False
185,Ondřej Němec,67,Hradec Králové,ondřej.němec.185@company.cz,2024-12-16,enterprise,2415.67,True
186,Daniel Černý,73,Liberec,daniel.černý.186@example.com,2025-08-06,enterprise,2185.29,True
187,Nikola Dvořák,36,Brno,nikola.dvořák.187@mail.cz,2023-07-13,enterprise,2263.27,True
188,Filip Novotný,78,Plzeň,filip.novotný.188@demo.io,2023-12-17,free,1037.24,False
189,Nikola Marek,33,Hradec Králové,nikola.marek.189@example.com,2024-02-07,standard,70.47,True
190,Michaela Černý,26,Praha,michaela.černý.190@sentinel.test,2024-08-25,standard,1897.1,False
191,Ondřej Novák,75,Brno,ondřej.novák.191@example.com,2023-06-09,standard,2087.41,False
192,Tomáš Němec,33,Liberec,tomáš.němec.192@example.com,2022-04-08,standard,1049.56,False
193,Jan Dvořák,71,Pardubice,jan.dvořák.193@company.cz,2025-01-02,free,1579.89,True
194,Martin Němec,45,Praha,martin.němec.194@company.cz,2023-12-24,standard,1426.66,True
195,Jan Růžička,80,Olomouc,jan.růžička.195@example.com,2024-12-13,free,976.13,False
196,Petr Pospíšil,80,Olomouc,petr.pospíšil.196@sentinel.test,2022-02-03,premium,1971.3,True
197,Tereza Dvořák,67,Zlín,tereza.dvořák.197@sentinel.test,2022-10-01,free,880.75,True
198,Lucie Král,80,Karlovy Vary,lucie.král.198@demo.io,2025-07-17,standard,2028.74,True
199,Ondřej Svoboda,,Plzeň,ondřej.svoboda.199@example.com,2023-02-13,free,788.99,True
200,Nikola Pospíšil,70,České Budějovice,nikola.pospíšil.200@demo.io,2023-06-03,free,1883.23,True
201,Eva Marek,73,Ústí nad Labem,eva.marek.201@example.com,2025-09-04,premium,683.04,True
202,Filip Pospíšil,65,Pardubice,filip.pospíšil.202@demo.io,2023-11-26,standard,1240.51,False
203,Veronika Růžička,35,Ústí nad Labem,veronika.růžička.203@example.com,2026-01-29,enterprise,197.32,True
204,Adéla Němec,38,Brno,adéla.němec.204@example.com,2023-11-03,premium,766.24,False
205,Lucie Král,40,Pardubice,lucie.král.205@example.com,2026-01-28,premium,1537.13,False
206,Kateřina Svoboda,22,Jihlava,kateřina.svoboda.206@demo.io,2024-01-15,standard,2381.97,True
207,Daniel Král,20,Ostrava,daniel.král.207@example.com,2023-04-29,premium,905.38,True
208,Daniel Černý,61,Pardubice,daniel.černý.208@sentinel.test,2024-02-01,enterprise,1907.71,True
209,Nikola Marek,43,Olomouc,nikola.marek.209@sentinel.test,2023-05-27,free,64.78,True
210,Barbora Růžička,42,České Budějovice,barbora.růžička.210@example.com,2023-06-21,premium,1760.09,True
211,Daniel Němec,62,Pardubice,daniel.němec.211@mail.cz,2022-09-09,standard,2132.07,False
212,Lucie Král,23,Ústí nad Labem,lucie.král.212@sentinel.test,2025-09-29,premium,1773.85,True
213,Eva Procházka,63,Karlovy Vary,eva.procházka.213@mail.cz,2024-01-11,standard,303.41,True
214,Martin Veselý,68,Pardubice,martin.veselý.214@example.com,2024-01-10,premium,1168.51,True
215,Daniel Novotný,22,Liberec,daniel.novotný.215@demo.io,2026-01-08,enterprise,1314.24,False
216,Karolína Novotný,26,Olomouc,karolína.novotný.216@example.com,2024-07-10,enterprise,1700.27,True
217,Martin Beneš,58,Zlín,martin.beneš.217@mail.cz,2022-09-22,enterprise,1257.16,True
218,Tomáš Růžička,27,Liberec,tomáš.růžička.218@mail.cz,2022-11-28,premium,2336.84,True
219,Veronika Růžička,75,Liberec,veronika.růžička.219@example.com,2023-05-29,standard,1587.64,True
220,Martin Němec,57,České Budějovice,martin.němec.220@example.com,2024-10-26,standard,1479.52,True
221,Lucie Pokorný,71,Zlín,lucie.pokorný.221@example.com,2022-02-28,free,113.65,True
222,Anna Hájek,57,Jihlava,anna.hájek.222@example.com,2024-10-16,premium,1604.77,True
223,Barbora Veselý,69,Ústí nad Labem,barbora.veselý.223@demo.io,2023-09-02,enterprise,182.43,True
224,Lucie Král,44,Pardubice,lucie.král.224@demo.io,2023-02-22,premium,1516.65,True
225,Michaela Marek,80,Hradec Králové,michaela.marek.225@mail.cz,2024-01-29,free,797.79,False
226,Tomáš Horák,46,Plzeň,tomáš.horák.226@mail.cz,2022-07-18,free,725.53,False
227,Daniel Hájek,33,Ostrava,daniel.hájek.227@sentinel.test,2025-03-29,premium,474.59,True
228,Barbora Růžička,47,Pardubice,barbora.růžička.228@sentinel.test,2024-10-15,free,225.12,False
229,Nikola Král,79,Plzeň,nikola.král.229@mail.cz,2025-04-09,premium,121.65,True
230,Barbora Jelínek,36,České Budějovice,barbora.jelínek.230@example.com,2022-08-09,enterprise,334.84,True
231,Veronika Pospíšil,41,Praha,veronika.pospíšil.231@demo.io,2022-04-15,standard,906.31,True
232,Jan Pospíšil,50,Pardubice,jan.pospíšil.232@company.cz,2023-07-27,free,321.66,True
233,David Marek,68,Olomouc,david.marek.233@company.cz,2024-01-19,standard,497.64,False
234,Nikola Svoboda,20,Praha,nikola.svoboda.234@mail.cz,2026-01-01,premium,2009.91,False
235,Martin Růžička,26,Olomouc,martin.růžička.235@company.cz,2023-10-15,standard,982.39,True
236,Karolína Pokorný,50,České Budějovice,karolína.pokorný.236@company.cz,2024-09-30,premium,1187.23,True
237,Veronika Pokorný,61,Brno,veronika.pokorný.237@demo.io,2025-04-10,premium,1991.89,True
238,Daniel Jelínek,34,Jihlava,daniel.jelínek.238@company.cz,2025-03-28,standard,1803.5,False
239,Lucie Růžička,58,Karlovy Vary,lucie.růžička.239@company.cz,2024-02-18,standard,2054.15,True
240,Petr Dvořák,30,Praha,petr.dvořák.240@demo.io,2023-10-05,enterprise,378.58,True
241,Filip Růžička,67,Zlín,filip.růžička.241@demo.io,2026-01-29,free,1764.44,True
242,Adéla Pokorný,60,Pardubice,adéla.pokorný.242@company.cz,2024-02-11,premium,2391.71,False
243,Adéla Pokorný,52,Olomouc,adéla.pokorný.243@sentinel.test,2025-06-03,enterprise,480.66,True
244,Kateřina Beneš,37,Plzeň,kateřina.beneš.244@sentinel.test,2023-08-15,standard,1725.6,False
245,Michaela Jelínek,40,České Budějovice,michaela.jelínek.245@sentinel.test,2023-08-13,free,1433.69,False
246,David Marek,79,Ústí nad Labem,david.marek.246@mail.cz,2023-08-18,free,719.08,True
247,Veronika Král,59,Liberec,veronika.král.247@demo.io,2023-03-15,standard,2069.88,True
248,Adéla Horák,26,Brno,adéla.horák.248@company.cz,2025-04-16,standard,606.15,True
249,Tereza Svoboda,24,Hradec Králové,tereza.svoboda.249@sentinel.test,2026-01-09,enterprise,251.36,True
250,Jakub Beneš,80,Ostrava,jakub.beneš.250@demo.io,2025-08-30,enterprise,1193.62,True
251,,36,Jihlava,eva.pokorný.251@example.com,2022-07-03,standard,1337.88,True
252,Lucie Hájek,74,Ostrava,lucie.hájek.252@example.com,2024-03-24,enterprise,465.78,True
253,Petr Novák,37,Zlín,petr.novák.253@company.cz,2022-08-08,premium,711.4,False
254,Martin Růžička,47,Liberec,martin.růžička.254@mail.cz,2022-08-19,premium,406.24,False
255,Kateřina Procházka,18,Karlovy Vary,kateřina.procházka.255@sentinel.test,2023-08-28,standard,438.74,False
256,Filip Růžička,38,Brno,filip.růžička.256@demo.io,2025-10-02,free,461.95,True
257,Barbora Pokorný,77,Plzeň,barbora.pokorný.257@example.com,2023-06-19,enterprise,588.8,True
258,Michaela Němec,55,Karlovy Vary,michaela.němec.258@company.cz,2022-01-24,premium,1634.21,True
259,Petr Dvořák,47,Liberec,petr.dvořák.259@mail.cz,2024-04-10,premium,1725.73,True
260,Veronika Veselý,32,Ostrava,veronika.veselý.260@demo.io,2022-11-10,enterprise,1869.34,True
261,Filip Beneš,76,Pardubice,filip.beneš.261@company.cz,2025-09-22,standard,1904.65,True
262,Nikola Král,51,Karlovy Vary,nikola.král.262@sentinel.test,2022-06-09,free,154.4,True
263,Karolína Beneš,27,Ostrava,karolína.beneš.263@sentinel.test,2024-12-01,enterprise,290.6,True
264,Karolína Jelínek,23,České Budějovice,karolína.jelínek.264@demo.io,2022-04-24,enterprise,329.86,False
265,Ondřej Svoboda,53,Pardubice,ondřej.svoboda.265@sentinel.test,2026-01-21,free,989.87,True
266,Anna Novotný,20,Hradec Králové,anna.novotný.266@sentinel.test,2025-12-05,free,1352.91,True
267,Jan Jelínek,20,Liberec,jan.jelínek.267@demo.io,2023-01-04,standard,1914.57,False
268,Veronika Pospíšil,46,Hradec Králové,veronika.pospíšil.268@demo.io,2022-06-14,standard,1633.84,True
269,Tomáš Procházka,52,Hradec Králové,tomáš.procházka.269@company.cz,2022-09-18,standard,2087.05,True
270,Eva Král,61,Karlovy Vary,eva.král.270@company.cz,2024-05-18,enterprise,2058.4,True
271,Ondřej Marek,27,Liberec,ondřej.marek.271@mail.cz,2026-01-24,free,80.54,False
272,Daniel Novák,33,Plzeň,daniel.novák.272@example.com,2022-07-26,free,1116.1,True
